premise,hypothesis,gold_label,trigger,SetID,UID,trigger_words,premise_type
Jessica believes that her friend is upstairs.,Jessica has a friend.,E,possessive,0,type5_possessive_1_00,her friend,Attitude Premise
"If Jessica attends the conference and her friend meets her at the hotel, it's okay.",Jessica has a friend.,E,possessive,0,type5_possessive_1_00,her friend,Conjunction Premise
"Either Sarah doesn't attend the conference, or she and her friend do.",Jessica has a friend.,E,possessive,0,type5_possessive_1_00,her friend,Disjunction Premise
"If Jessica attends the conference, her colleague will meet her at the hotel.",Jessica has a friend.,E,possessive,0,type5_possessive_1_00,her friend,premise
Emily believes her best friend is nearby.,Emily has a best friend.,E,possessive,1,type5_possessive_1_01,her best friend,Attitude Premise
"If Emily passes her driving test and her best friend takes her out for a celebratory dinner, it's okay.",Emily has a best friend.,E,possessive,1,type5_possessive_1_01,her best friend,Conjunction Premise
"Either Emily doesn't pass her driving test, or she and her best friend go out.",Emily has a best friend.,E,possessive,1,type5_possessive_1_01,her best friend,Disjunction Premise
"If Emily passes her driving test, her best friend will take her out for a celebratory dinner.",Emily has a best friend.,E,possessive,1,type5_possessive_1_01,her best friend,premise
Scarlett believes that her husband is waiting.,Scarlett has a husband.,E,possessive,2,type5_possessive_1_02,her husband,Attitude Premise
"If Scarlett finishes her work early and her husband takes her out for dinner, it's okay.",Scarlett has a husband.,E,possessive,2,type5_possessive_1_02,her husband,Conjunction Premise
"Either Scarlett doesn't finish her work early, or she and her husband go out for dinner.",Scarlett has a husband.,E,possessive,2,type5_possessive_1_02,her husband,Disjunction Premise
"If Scarlett finishes her work early, her husband will take her out for dinner.",Scarlett has a husband.,E,possessive,2,type5_possessive_1_02,her husband,premise
Charlie believes that his colleagues are at the restaurant.,Charlie has colleagues.,E,possessive,3,type5_possessive_1_03,his colleagues,Attitude Premise
"If Charlie finishes his work early and his colleagues take him out for lunch, it's okay.",Charlie has colleagues.,E,possessive,3,type5_possessive_1_03,his colleagues,Conjunction Premise
"Either Charlie doesn't finish his work early, or he and his colleagues go out for lunch.",Charlie has colleagues.,E,possessive,3,type5_possessive_1_03,his colleagues,Disjunction Premise
"If Charlie finishes his work early, his colleagues will take him out for lunch.",Charlie has colleagues.,E,possessive,3,type5_possessive_1_03,his colleagues,premise
Charlotte believes that her parents are generous.,Charlotte has parents.,E,possessive,4,type5_possessive_1_04,her parents,Attitude Premise
"If Charlotte passes her driving test and her parents buy her a car, it's okay.",Charlotte has parents.,E,possessive,4,type5_possessive_1_04,her parents,Conjunction Premise
"Either Charlotte doesn't pass her driving test, or she and her parents buy a car.",Charlotte has parents.,E,possessive,4,type5_possessive_1_04,her parents,Disjunction Premise
"If Charlotte passes her driving test, her parents will buy her a car.",Charlotte has parents.,E,possessive,4,type5_possessive_1_04,her parents,premise
Mia believes that her coworker is reliable.,Mia has a coworker.,E,possessive,5,type5_possessive_1_05,her coworker,Attitude Premise
"If Mia's car breaks down and her coworker gives her a ride to the office, it's okay.",Mia has a coworker.,E,possessive,5,type5_possessive_1_05,her coworker,Conjunction Premise
"Either Mia's car doesn't break down, or she and her coworker ride to the office together.",Mia has a coworker.,E,possessive,5,type5_possessive_1_05,her coworker,Disjunction Premise
"If Mia's car breaks down, her coworker will give her a ride to the office.",Mia has a coworker.,E,possessive,5,type5_possessive_1_05,her coworker,premise
Ryan believes that his parents are joyful.,Ryan has parents.,E,possessive,6,type5_possessive_1_06,his parents,Attitude Premise
"If Ryan passes his driving test and his parents are very happy, it's okay.",Ryan has parents.,E,possessive,6,type5_possessive_1_06,his parents,Conjunction Premise
"Either Ryan doesn't pass his driving test, or he and his parents will be very happy.",Ryan has parents.,E,possessive,6,type5_possessive_1_06,his parents,Disjunction Premise
"If Ryan passes his driving test, his parents will be very happy.",Ryan has parents.,E,possessive,6,type5_possessive_1_06,his parents,premise
Lily believes her friend is waiting at the station.,Lily has a friend.,E,possessive,7,type5_possessive_1_07,her friend,Attitude Premise
"If Lily takes the train to the city and her friend meets her at the station, it's okay.",Lily has a friend.,E,possessive,7,type5_possessive_1_07,her friend,Conjunction Premise
"Either Lily doesn't take the train to the city, or she and her friend meet at the station.",Lily has a friend.,E,possessive,7,type5_possessive_1_07,her friend,Disjunction Premise
"If Lily takes the train to the city, her friend will meet her at the station.",Lily has a friend.,E,possessive,7,type5_possessive_1_07,her friend,premise
Louis believes that his colleague is waiting outside.,Louis has a colleague.,E,possessive,8,type5_possessive_1_08,his colleague,Attitude Premise
"If Louis finishes his meeting early and his colleague drives him to the conference, it's okay.",Louis has a colleague.,E,possessive,8,type5_possessive_1_08,his colleague,Conjunction Premise
"Either Louis doesn't finish his meeting early, or he and his colleague drive to the conference.",Louis has a colleague.,E,possessive,8,type5_possessive_1_08,his colleague,Disjunction Premise
"If Louis finishes his meeting early, his colleague will drive him to the conference.",Louis has a colleague.,E,possessive,8,type5_possessive_1_08,his colleague,premise
