premise,hypothesis,gold_label,trigger,SetID,UID,trigger_words,premise_type
"If Jessica attends the conference, her colleague will meet her at the university.",Jessica has a colleague.,E,possessive,0,type5p_possessive_00,her colleague,related
"If Jessica attends the conference, her colleague will get rid of his old car.",Jessica has a colleague.,E,possessive,0,type5p_possessive_00,her colleague,unrelated
"If Emily passes her driving test, her best friend will take her out for a post exam celebratory dinner.",Emily has a best friend.,E,possessive,1,type5p_possessive_01,her best friend,related
"If Emily passes her driving test, her best friend will travel to Europe.",Emily has a best friend.,E,possessive,1,type5p_possessive_01,her best friend,unrelated
"If Scarlett finishes her chores early, her husband will take her out for lunch.",Scarlett has a husband.,E,possessive,2,type5p_possessive_02,her husband,related
"If Scarlett finishes her chores early, her husband will adopt a puppy.",Scarlett has a husband.,E,possessive,2,type5p_possessive_02,her husband,unrelated
"If Chloe finishes his project early, his colleagues will take him out for drinks.",Chloe has colleagues.,E,possessive,3,type5p_possessive_03,his colleagues,related
"If Chloe finishes his project early, his colleagues will paint his fence.",Chloe has colleagues.,E,possessive,3,type5p_possessive_03,his colleagues,unrelated
"If Charlotte passes her math test, her parents will buy her a calculator.",Charlotte has parents.,E,possessive,4,type5p_possessive_04,her parents,related
"If Charlotte passes her math test, her parents will walk her turtle.",Charlotte has parents.,E,possessive,4,type5p_possessive_04,her parents,unrelated
"If Mia's phone breaks down, her coworker will give her a charger to the office.",Mia has a coworker.,E,possessive,5,type5p_possessive_05,her coworker,related
"If Mia's phone breaks down, her coworker will knit her a sweater to the office.",Mia has a coworker.,E,possessive,5,type5p_possessive_05,her coworker,unrelated
"If Ryan passes his math test, his parents will be very proud.",Ryan has parents.,E,possessive,6,type5p_possessive_06,his parents,related
"If Ryan passes his math test, his parents will water his garden.",Ryan has parents.,E,possessive,6,type5p_possessive_06,his parents,unrelated
"If Lily takes the train to the airport, her friend will meet her at the gate.",Lily has a friend.,E,possessive,7,type5p_possessive_07,her friend,related
"If Lily takes the train to the airport, her friend will play her violin at the gate.",Lily has a friend.,E,possessive,7,type5p_possessive_07,her friend,unrelated
"If Lisa finishes his meeting early, his colleague will drive him to the office.",Lisa has a colleague.,E,possessive,8,type5p_possessive_08,his colleague,related
"If Lisa finishes his meeting early, his colleague will feed him popcorn to the office.",Lisa has a colleague.,E,possessive,8,type5p_possessive_08,his colleague,unrelated
"If Jennifer finishes her report early, her colleagues will take her out for coffee.",Jennifer has colleagues.,E,possessive,9,type5p_possessive_09,her colleagues,related
"If Jennifer finishes her report early, her colleagues will sweep her porch.",Jennifer has colleagues.,E,possessive,9,type5p_possessive_09,her colleagues,unrelated
"If Sarah has a dentist appointment, her husband will drive her to the hospital.",Sarah has a husband.,E,possessive,10,type5p_possessive_10,her husband,related
"If Sarah has a dentist appointment, her husband will fly her kite.",Sarah has a husband.,E,possessive,10,type5p_possessive_10,her husband,unrelated
"If Evelyn lands in Los Angeles, her best friend will greet her at the hotel.",Evelyn has a best friend.,E,possessive,11,type5p_possessive_11,her best friend,related
"If Evelyn lands in Los Angeles, her best friend will build her a sandcastle at the hotel.",Evelyn has a best friend.,E,possessive,11,type5p_possessive_11,her best friend,unrelated
"If Daniel arrives on time, his best friend will be waiting for him at the bus stop.",Daniel has a best friend.,E,possessive,12,type5p_possessive_12,his best friend,related
"If Daniel arrives on time, his best friend will wash his backpack at the bus stop.",Daniel has a best friend.,E,possessive,12,type5p_possessive_12,his best friend,unrelated
"If Isabella finishes her assignment early, her colleague will treat her to coffee.",Isabella has a colleague.,E,possessive,13,type5p_possessive_13,her colleague,related
"If Isabella finishes her assignment early, her colleague will paint her mailbox.",Isabella has a colleague.,E,possessive,13,type5p_possessive_13,her colleague,unrelated
"If Elijah attends the seminar, his colleague will meet him at the auditorium.",Elijah has a colleague.,E,possessive,14,type5p_possessive_14,his colleague,related
"If Elijah attends the seminar, his colleague will sing him a lullaby at the auditorium.",Elijah has a colleague.,E,possessive,14,type5p_possessive_14,his colleague,unrelated
"If Patricia finishes her project early, her colleague will take her out for coffee.",Patricia has a colleague.,E,possessive,15,type5p_possessive_15,her colleague,related
"If Patricia finishes her project early, her colleague will dust her bookshelf.",Patricia has a colleague.,E,possessive,15,type5p_possessive_15,her colleague,unrelated
"If Linda graduates from law school, her parents will throw her a celebration dinner.",Linda has parents.,E,possessive,16,type5p_possessive_16,her parents,related
"If Linda graduates from law school, her parents will organize her closet.",Linda has parents.,E,possessive,16,type5p_possessive_16,her parents,unrelated
"If Karen's train is delayed, her friend will wait for her at the station.",Karen has a friend.,E,possessive,17,type5p_possessive_17,her friend,related
"If Karen's train is delayed, her friend will water her flowers at the station.",Karen has a friend.,E,possessive,17,type5p_possessive_17,her friend,unrelated
"If Abigail finishes her report early, her colleague will treat her to coffee.",Abigail has a colleague.,E,possessive,18,type5p_possessive_18,her colleague,related
"If Abigail finishes her report early, her colleague will fly her drone.",Abigail has a colleague.,E,possessive,18,type5p_possessive_18,her colleague,unrelated
"If Elizabeth finishes her report early, her colleagues will take her out for celebratory dessert.",Elizabeth has colleagues.,E,possessive,19,type5p_possessive_19,her colleagues,related
"If Elizabeth finishes her report early, her colleagues will build her a treehouse.",Elizabeth has colleagues.,E,possessive,19,type5p_possessive_19,her colleagues,unrelated
"If Zoey finishes his presentation early, his colleague will drive him to the client's office.",Zoey has a colleague.,E,possessive,20,type5p_possessive_20,his colleague,related
"If Zoey finishes his presentation early, his colleague will water his plants to the client's office.",Zoey has a colleague.,E,possessive,20,type5p_possessive_20,his colleague,unrelated
"If Harper arrives early, her friend will meet her at the library.",Harper has a friend.,E,possessive,21,type5p_possessive_21,her friend,related
"If Harper arrives early, her friend will feed her goldfish at the library.",Harper has a friend.,E,possessive,21,type5p_possessive_21,her friend,unrelated
"If Ethan arrives on time, his colleague will give him a ride to the office.",Ethan has a colleague.,E,possessive,22,type5p_possessive_22,his colleague,related
"If Ethan arrives on time, his colleague will bake him muffins to the office.",Ethan has a colleague.,E,possessive,22,type5p_possessive_22,his colleague,unrelated
"If Kimberly finishes work early, his friend will drive him to the festival.",Kimberly has a friend.,E,possessive,23,type5p_possessive_23,his friend,related
"If Kimberly finishes work early, his friend will tune his guitar to the festival.",Kimberly has a friend.,E,possessive,23,type5p_possessive_23,his friend,unrelated
"If Ashley decides to study medicine, her parents will help her with the registration process.",Ashley has parents.,E,possessive,24,type5p_possessive_24,her parents,related
"If Ashley decides to study medicine, her parents will paint her bedroom.",Ashley has parents.,E,possessive,24,type5p_possessive_24,her parents,unrelated
"If Joshua agrees to the interview, his colleague will drive him to the conference venue.",Joshua has a colleague.,E,possessive,25,type5p_possessive_25,his colleague,related
"If Joshua agrees to the interview, his colleague will walk his dog to the conference venue.",Joshua has a colleague.,E,possessive,25,type5p_possessive_25,his colleague,unrelated
"If David attends the seminar, his colleague will meet him at the auditorium.",David has a colleague.,E,possessive,26,type5p_possessive_26,his colleague,related
"If David attends the seminar, his colleague will fly his kite at the auditorium.",David has a colleague.,E,possessive,26,type5p_possessive_26,his colleague,unrelated
"If Avery decides to attend the workshop, her colleague will accompany her during the lecture.",Avery has a colleague.,E,possessive,27,type5p_possessive_27,her colleague,related
"If Avery decides to attend the workshop, her colleague will knit her a hat during the lecture.",Avery has a colleague.,E,possessive,27,type5p_possessive_27,her colleague,unrelated
"If Steven drives to the restaurant, his friend will meet him at the table.",Steven has a friend.,E,possessive,28,type5p_possessive_28,his friend,related
"If Steven drives to the restaurant, his friend will iron his shirt at the table.",Steven has a friend.,E,possessive,28,type5p_possessive_28,his friend,unrelated
"If Barbara's bike breaks down, her neighbor will give her a ride to school.",Barbara has a neighbor.,E,possessive,29,type5p_possessive_29,her neighbor,related
"If Barbara's bike breaks down, her neighbor will water her garden to school.",Barbara has a neighbor.,E,possessive,29,type5p_possessive_29,her neighbor,unrelated
"If Dorothy finishes her appointment early, her colleague will drive her home.",Dorothy has a colleague.,E,possessive,30,type5p_possessive_30,her colleague,related
"If Dorothy finishes her appointment early, her colleague will take her shopping.",Dorothy has a colleague.,E,possessive,30,type5p_possessive_30,her colleague,unrelated
"If Amelia finishes his assignment early, his colleague will take him out for coffee.",Amelia has a colleague.,E,possessive,31,type5p_possessive_31,his colleague,related
"If Amelia finishes his assignment early, his colleague will draw him a picture.",Amelia has a colleague.,E,possessive,31,type5p_possessive_31,his colleague,unrelated
"If Sophia decides to attend the seminar, his best friend will drive him there.",Sophia has a best friend.,E,possessive,32,type5p_possessive_32,his best friend,related
"If Sophia decides to attend the seminar, his best friend will plant his flowers there.",Sophia has a best friend.,E,possessive,32,type5p_possessive_32,his best friend,unrelated
"If Mark train is delayed, his friend will wait for him at the station.",Mark has a friend.,E,possessive,33,type5p_possessive_33,his friend,related
"If Mark train is delayed, his friend will clean his sunglasses at the station.",Mark has a friend.,E,possessive,33,type5p_possessive_33,his friend,unrelated
"If Olivia travels to London, his brother will meet him at the bus station.",Olivia has a brother.,E,possessive,34,type5p_possessive_34,his brother,related
"If Olivia travels to London, his brother will comb his hair at the bus station.",Olivia has a brother.,E,possessive,34,type5p_possessive_34,his brother,unrelated
"If Christopher arrives on time, his friend will be waiting for him at the library.",Christopher has a friend.,E,possessive,35,type5p_possessive_35,his friend,related
"If Christopher arrives on time, his friend will juggle his oranges at the library.",Christopher has a friend.,E,possessive,35,type5p_possessive_35,his friend,unrelated
"If Margaret decides to attend the meeting, her colleague will share a ride with her.",Margaret has a colleague.,E,possessive,36,type5p_possessive_36,her colleague,related
"If Margaret decides to attend the meeting, her colleague will organize her bookshelf.",Margaret has a colleague.,E,possessive,36,type5p_possessive_36,her colleague,unrelated
"If Emma lands in Los Angeles, her friend will drive her to the house.",Emma has a friend.,E,possessive,37,type5p_possessive_37,her friend,related
"If Emma lands in Los Angeles, her friend will bake her cookies at the house.",Emma has a friend.,E,possessive,37,type5p_possessive_37,her friend,unrelated
"If Mary attends the workshop, her colleague will accompany her to the seminar.",Mary has a colleague.,E,possessive,38,type5p_possessive_38,her colleague,related
"If Mary attends the workshop, her colleague will fold her napkins to the seminar.",Mary has a colleague.,E,possessive,38,type5p_possessive_38,her colleague,unrelated
