premise,hypothesis,gold_label,trigger,SetID,UID,trigger_words,premise_type
"If Alexander is an electrical technician, he'll bring his insulation tester and skips stones.",Alexander has an insulation tester.,E,possessive,0,type4_possessive_00,his insulation tester,unrelated
"If Alexander is an electrical technician, he'll test insulation with his insulation tester in a DIY workshop.",Alexander has an insulation tester.,E,possessive,0,type4_possessive_00,his insulation tester,somewhat_related
"If Alexander is an electrical technician, he'll use his insulation tester to assess wiring safety.",Alexander has an insulation tester.,E,possessive,0,type4_possessive_00,his insulation tester,related
"If Ali is a firefighter, he'll borrow us his firehose to water the community garden.",Ali has a firehose.,E,possessive,1,type4_possessive_01,his firehose,somewhat_related
"If Ali is a firefighter, he'll pick his firehose and climbs trees.",Ali has a firehose.,E,possessive,1,type4_possessive_01,his firehose,unrelated
"If Ali is a firefighter, he'll use his firehose to put out fires.",Ali has a firehose.,E,possessive,1,type4_possessive_01,his firehose,related
"If Alice is a midwife, she'll pack her birthing kit and draws circles.",Alice has a birthing kit.,E,possessive,2,type4_possessive_02,her birthing kit,unrelated
"If Alice is a midwife, she'll travel with her birthing kit to show students during a career day.",Alice has a birthing kit.,E,possessive,2,type4_possessive_02,her birthing kit,somewhat_related
"If Alice is a midwife, she'll use her birthing kit to assist with deliveries.",Alice has a birthing kit.,E,possessive,2,type4_possessive_02,her birthing kit,related
"If Aliya is a nurse, she'll grab her scrub and draws apples.",Aliya has scrubs.,E,possessive,3,type4_possessive_03,her scrub,unrelated
"If Aliya is a nurse, she'll use her scrub to maintain hygiene at work.",Aliya has scrubs.,E,possessive,3,type4_possessive_03,her scrub,related
"If Aliya is a nurse, she'll wear her scrub to walk in the hospital.",Aliya has scrubs.,E,possessive,3,type4_possessive_03,her scrub,somewhat_related
"If Amelia is a seamstress, she'll fix her sewing machine before making banners for her friend's event.",Amelia has a sewing machine.,E,possessive,4,type4_possessive_04,her sewing machine,somewhat_related
"If Amelia is a seamstress, she'll grab her sewing machine and grows mint.",Amelia has a sewing machine.,E,possessive,4,type4_possessive_04,her sewing machine,unrelated
"If Amelia is a seamstress, she'll use her sewing machine to stitch garments.",Amelia has a sewing machine.,E,possessive,4,type4_possessive_04,her sewing machine,related
"If Andrew is a home inspector, he'll grab his moisture meter and plays piano.",Andrew has a moisture meter.,E,possessive,5,type4_possessive_05,his moisture meter,unrelated
"If Andrew is a home inspector, he'll use his moisture meter to check for hidden leaks.",Andrew has a moisture meter.,E,possessive,5,type4_possessive_05,his moisture meter,related
"If Andrew is a home inspector, he'll use his moisture meter to check his basement plants.",Andrew has a moisture meter.,E,possessive,5,type4_possessive_05,his moisture meter,somewhat_related
"If Benjamin is a dive instructor, he'll bring his diving fins and whistles songs.",Benjamin has diving fins.,E,possessive,6,type4_possessive_06,his diving fins,unrelated
"If Benjamin is a dive instructor, he'll bring his diving fins for a beach cleanup.",Benjamin has diving fins.,E,possessive,6,type4_possessive_06,his diving fins,somewhat_related
"If Benjamin is a dive instructor, he'll use his diving fins to demonstrate diving techniques.",Benjamin has diving fins.,E,possessive,6,type4_possessive_06,his diving fins,related
"If Beverly is a gymnastics coach, she'll lay out her matting for her dog's obstacle course.",Beverly has matting.,E,possessive,7,type4_possessive_07,her matting,somewhat_related
"If Beverly is a gymnastics coach, she'll pick her matting and drinks lemonade.",Beverly has matting.,E,possessive,7,type4_possessive_07,her matting,unrelated
"If Beverly is a gymnastics coach, she'll use her matting to provide a safe practice area.",Beverly has matting.,E,possessive,7,type4_possessive_07,her matting,related
"If Bill is a content strategist, he'll pick his content management application and plays chess.",Bill has a content management application.,E,possessive,8,type4_possessive_08,his content management application,unrelated
"If Bill is a content strategist, he'll use his content management application to organize his personal recipes.",Bill has a content management application.,E,possessive,8,type4_possessive_08,his content management application,somewhat_related
"If Bill is a content strategist, he'll use his content management application to plan and organize digital content.",Bill has a content management application.,E,possessive,8,type4_possessive_08,his content management application,related
"If Bradley is a teacher, he'll pack his suit and reads novels.",Bradley has a suit.,E,possessive,9,type4_possessive_09,his suit,unrelated
"If Bradley is a teacher, he'll use his suit to present himself professionally at school.",Bradley has a suit.,E,possessive,9,type4_possessive_09,his suit,related
"If Bradley is a teacher, he'll wear his suit to the party for a school reunion.",Bradley has a suit.,E,possessive,9,type4_possessive_09,his suit,somewhat_related
"If Brett is a barber, he'll cut your hair with his scissors at a costume event.",Brett has scissors.,E,possessive,10,type4_possessive_10,his scissors,somewhat_related
"If Brett is a barber, he'll grab his scissors and knits hats.",Brett has scissors.,E,possessive,10,type4_possessive_10,his scissors,unrelated
"If Brett is a barber, he'll use his scissors to give haircuts.",Brett has scissors.,E,possessive,10,type4_possessive_10,his scissors,related
"If Brian is a marine biologist, he'll bring his diving mask and eats cookies.",Brian has a diving mask.,E,possessive,11,type4_possessive_11,his diving mask,unrelated
"If Brian is a marine biologist, he'll use his diving mask to observe marine life underwater.",Brian has a diving mask.,E,possessive,11,type4_possessive_11,his diving mask,related
"If Brian is a marine biologist, he'll wear his diving mask to clean his backyard pond.",Brian has a diving mask.,E,possessive,11,type4_possessive_11,his diving mask,somewhat_related
"If Bruce is an optician, he'll calibrate lenses with his lens meter during a science demonstration.",Bruce has a lens meter.,E,possessive,12,type4_possessive_12,his lens meter,somewhat_related
"If Bruce is an optician, he'll grab his lens meter and blows bubbles.",Bruce has a lens meter.,E,possessive,12,type4_possessive_12,his lens meter,unrelated
"If Bruce is an optician, he'll use his lens meter to measure lens prescriptions.",Bruce has a lens meter.,E,possessive,12,type4_possessive_12,his lens meter,related
"If Charles is an urban forester, he'll grab his arborist tools and washes dishes.",Charles has arborist tools.,E,possessive,13,type4_possessive_13,his arborist tools,unrelated
"If Charles is an urban forester, he'll use his arborist tools to build a wooden bench.",Charles has arborist tools.,E,possessive,13,type4_possessive_13,his arborist tools,somewhat_related
"If Charles is an urban forester, he'll use his arborist tools to maintain city trees.",Charles has arborist tools.,E,possessive,13,type4_possessive_13,his arborist tools,related
"If Christina is a diesel mechanic, she'll grab her fuel injector tester and rides scooters.",Christina has a fuel injector tester.,E,possessive,14,type4_possessive_14,her fuel injector tester,unrelated
