premise,hypothesis,gold_label,trigger,SetID,UID,trigger_words,premise_type
Jessica believes she'll watch a movie by Nolan again.,Jessica has watched a movie by Nolan before.,E,again,0,type5_again_2_00,movie by Nolan again,Attitude Premise
"If Jessica attends the conference and she never watches a movie by Nolan again, it's okay.",Jessica has watched a movie by Nolan before.,E,again,0,type5_again_2_00,movie by Nolan again,Conjunction Premise
"Either Jessica doesn't attend the conference, or she and her friend watch a movie by Nolan again.",Jessica has watched a movie by Nolan before.,E,again,0,type5_again_2_00,movie by Nolan again,Disjunction Premise
"If Jessica attends the conference, she'll never watch a movie by Nolan again.",Jessica has watched a movie by Nolan before.,E,again,0,type5_again_2_00,movie by Nolan again,premise
Emily believes she'll read a book by Dan Brown again.,Emily has read a book by Dan Brown before.,E,again,1,type5_again_2_01,book by Dan Brown before,Attitude Premise
"If Emily passes her driving test and she never reads a book by Dan Brown again, it's okay.",Emily has read a book by Dan Brown before.,E,again,1,type5_again_2_01,book by Dan Brown before,Conjunction Premise
"Either Emily passes her driving test, or she and her friend read a book by Dan Brown again.",Emily has read a book by Dan Brown before.,E,again,1,type5_again_2_01,book by Dan Brown before,Disjunction Premise
"If Emily passes her driving test, she'll never read a book by Dan Brown again.",Emily has read a book by Dan Brown before.,E,again,1,type5_again_2_01,book by Dan Brown before,premise
Scarlett believes she'll eat a traditional Swedish dish again.,Scarlett has eaten a traditional Swedish dish before.,E,again,2,type5_again_2_02,a traditional Swedish dish again,Attitude Premise
"If Scarlett finishes her work early and she never eats a traditional Swedish dish again, it's okay.",Scarlett has eaten a traditional Swedish dish before.,E,again,2,type5_again_2_02,a traditional Swedish dish again,Conjunction Premise
"Either Scarlett doesn't finish her work early, or she and her friend eat a traditional Swedish dish again.",Scarlett has eaten a traditional Swedish dish before.,E,again,2,type5_again_2_02,a traditional Swedish dish again,Disjunction Premise
"If Scarlett finishes her work early, she'll never eat a traditional Swedish dish again.",Scarlett has eaten a traditional Swedish dish before.,E,again,2,type5_again_2_02,a traditional Swedish dish again,premise
Chloe believes that she'll sing a pop song again.,Chloe has sung a pop song before.,E,again,3,type5_again_2_03,pop song again,Attitude Premise
"If Chloe finishes her work early and she never sings a pop song again, it's okay.",Chloe has sung a pop song before.,E,again,3,type5_again_2_03,pop song again,Conjunction Premise
"Either Chloe doesn't finish her work early, or she and her friend sing a pop song again.",Chloe has sung a pop song before.,E,again,3,type5_again_2_03,pop song again,Disjunction Premise
"If Chloe finishes her work early, she'll never sing a pop song again.",Chloe has sung a pop song before.,E,again,3,type5_again_2_03,pop song again,premise
Charlotte believes she'll listen to a pop song again.,Charlotte has listened to a pop song before.,E,again,4,type5_again_2_04,pop song again,Attitude Premise
"If Charlotte passes her driving test and she never listens to a pop song again, it's okay.",Charlotte has listened to a pop song before.,E,again,4,type5_again_2_04,pop song again,Conjunction Premise
"Either Charlotte doesn't pass her driving test, or she and her friend listen to a pop song again.",Charlotte has listened to a pop song before.,E,again,4,type5_again_2_04,pop song again,Disjunction Premise
"If Charlotte passes her driving test, she'll never listen to a pop song again.",Charlotte has listened to a pop song before.,E,again,4,type5_again_2_04,pop song again,premise
Mia believes that she'll write a horror novel again.,Mia has written a horror novel before.,E,again,5,type5_again_2_05,Horror novel again,Attitude Premise
"If Mia's car breaks down and she never writes a horror novel again, it's okay.",Mia has written a horror novel before.,E,again,5,type5_again_2_05,Horror novel again,Conjunction Premise
"Either Mia's car doesn't break down, or she and her friend write a horror novel again.",Mia has written a horror novel before.,E,again,5,type5_again_2_05,Horror novel again,Disjunction Premise
"If Mia's car breaks down, she'll never write a horror novel again.",Mia has written a horror novel before.,E,again,5,type5_again_2_05,Horror novel again,premise
Ryan believes that he'll run a marathon in the US again.,Ryan has run a marathon in the US before.,E,again,6,type5_again_2_06,run a marathon in the US again,Attitude Premise
"If Ryan passes his driving test and he never runs a marathon in the US again, it's okay.",Ryan has run a marathon in the US before.,E,again,6,type5_again_2_06,run a marathon in the US again,Conjunction Premise
"Either Ryan doesn't pass his driving test, or he and his friend run a marathon in the US again.",Ryan has run a marathon in the US before.,E,again,6,type5_again_2_06,run a marathon in the US again,Disjunction Premise
"If Ryan passes his driving test, he'll never run a marathon in the US again.",Ryan has run a marathon in the US before.,E,again,6,type5_again_2_06,run a marathon in the US again,premise
Lily believes she'll paint a portrait again.,Lily has painted a portrait before.,E,again,7,type5_again_2_07,Portrait again,Attitude Premise
"If Lily takes the train to the city and she never paints a portrait again, it's okay.",Lily has painted a portrait before.,E,again,7,type5_again_2_07,Portrait again,Conjunction Premise
"Either Lily doesn't take the train to the city, or she and her friend paint a portrait again.",Lily has painted a portrait before.,E,again,7,type5_again_2_07,Portrait again,Disjunction Premise
"If Lily takes the train to the city, she'll never paint a portrait again.",Lily has painted a portrait before.,E,again,7,type5_again_2_07,Portrait again,premise
Lisa believes that she'll drive a sports car again.,Lisa has driven a sports car before.,E,again,8,type5_again_2_08,sports car again,Attitude Premise
"If Lisa finishes her meeting early and she never drives a sports car again, it's okay.",Lisa has driven a sports car before.,E,again,8,type5_again_2_08,sports car again,Conjunction Premise
"Either Lisa doesn't finish her meeting early, or she and her friend drive a sports car again.",Lisa has driven a sports car before.,E,again,8,type5_again_2_08,sports car again,Disjunction Premise
"If Lisa finishes her meeting early, she'll never drive a sports car again.",Lisa has driven a sports car before.,E,again,8,type5_again_2_08,sports car again,premise
