premise,hypothesis,gold_label,trigger,SetID,UID,trigger_words,premise_type
"If Abigail completes her work on time, she'll never select a book to read again.",Abigail has selected a winner before.,N,again,0,type5A_again_00,select a book to read again,unrelated
"If Abigail completes her work on time, she'll never select a champion again.",Abigail has selected a winner before.,N,again,0,type5A_again_00,select a champion again,somewhat_related
"If Abigail completes her work on time, she'll never select a winner again.",Abigail has selected a winner before.,E,again,0,type5A_again_00,select a winner again,related
"If Abigail finishes her presentation early, she'll never clean a bathtub again.",Abigail has cleaned a bathtub before.,E,again,1,type5A_again_01,clean a bathtub again,related
"If Abigail finishes her presentation early, she'll never clean a fish tank again.",Abigail has cleaned a bathtub before.,N,again,1,type5A_again_01,clean a fish tank again,unrelated
"If Abigail finishes her presentation early, she'll never clean a shower again.",Abigail has cleaned a bathtub before.,N,again,1,type5A_again_01,clean a shower again,somewhat_related
"If Abigail finishes her work early, she'll never identify a painting again.",Abigail has identified a problem before.,N,again,2,type5A_again_02,identify a painting again,unrelated
"If Abigail finishes her work early, she'll never identify a problem again.",Abigail has identified a problem before.,E,again,2,type5A_again_02,identify a problem again,related
"If Abigail finishes her work early, she'll never identify an issue again.",Abigail has identified a problem before.,N,again,2,type5A_again_02,identify an issue again,somewhat_related
"If Abigail finishes her work on time, she'll never traverse a continent again.",Abigail has traversed a continent before.,E,again,3,type5A_again_03,traverse a continent again,related
"If Abigail finishes her work on time, she'll never traverse a desert again.",Abigail has traversed a continent before.,N,again,3,type5A_again_03,traverse a desert again,unrelated
"If Abigail finishes her work on time, she'll never traverse a large region again.",Abigail has traversed a continent before.,N,again,3,type5A_again_03,traverse a large region again,somewhat_related
"If Abigail passes the driving test, she'll never dedicate a painting to celebrate friendship again.",Abigail has dedicated an amount of money to achieve success before.,N,again,4,type5A_again_04,dedicate a painting to celebrate friendship again,unrelated
"If Abigail passes the driving test, she'll never dedicate an amount of money to achieve success again.",Abigail has dedicated an amount of money to achieve success before.,E,again,4,type5A_again_04,dedicate an amount of money to achieve success again,related
"If Abigail passes the driving test, she'll never dedicate funds to pursue success again.",Abigail has dedicated an amount of money to achieve success before.,N,again,4,type5A_again_04,dedicate funds to pursue success again,somewhat_related
"If Abigail passes the exam, she'll never confide in a coach again.",Abigail has confided in a friend of Sania before.,N,again,5,type5A_again_05,confide in a coach again,unrelated
"If Abigail passes the exam, she'll never confide in a friend of Sania again.",Abigail has confided in a friend of Sania before.,E,again,5,type5A_again_05,confide in a friend of Sania again,related
"If Abigail passes the exam, she'll never confide in someone Sania knows again.",Abigail has confided in a friend of Sania before.,N,again,5,type5A_again_05,confide in someone Sania knows again,somewhat_related
"If Abigail takes the bus home, she'll never launch a campaign for the candidate again.",Abigail has launched a campaign for the candidate before.,E,again,6,type5A_again_06,launch a campaign for the candidate again,related
"If Abigail takes the bus home, she'll never launch a website for the artist again.",Abigail has launched a campaign for the candidate before.,N,again,6,type5A_again_06,launch a website for the artist again,unrelated
"If Abigail takes the bus home, she'll never launch an initiative for the nominee again.",Abigail has launched a campaign for the candidate before.,N,again,6,type5A_again_06,launch an initiative for the nominee again,somewhat_related
"If Abigail's car breaks down, she'll never push a program to succeed again.",Abigail has pushed an initiative to succeed before.,N,again,7,type5A_again_07,push a program to succeed again,somewhat_related
"If Abigail's car breaks down, she'll never push a proposal through city hall again.",Abigail has pushed an initiative to succeed before.,N,again,7,type5A_again_07,push a proposal through city hall again,unrelated
"If Abigail's car breaks down, she'll never push an initiative to succeed again.",Abigail has pushed an initiative to succeed before.,E,again,7,type5A_again_07,push an initiative to succeed again,related
