premise,hypothesis,gold_label,trigger,SetID,UID,trigger_words,premise_type
Liam believes that his wind tunnel is nearby.,Liam has a wind tunnel.,E,possessive,0,type4_possessive_00,his wind tunnel,Attitude Premise
"If Liam is an aerospace engineer and he tests the designs in his wind tunnel, it's okay.",Liam has a wind tunnel.,E,possessive,0,type4_possessive_00,his wind tunnel,Conjunction Premise
"Either Liam isn't an aerospace engineer, or he tests the designs in his wind tunnel.",Liam has a wind tunnel.,E,possessive,0,type4_possessive_00,his wind tunnel,Disjunction Premise
"If Liam is an aerospace engineer, he'll test the designs in his wind tunnel.",Liam has a wind tunnel.,E,possessive,0,type4_possessive_00,his wind tunnel,premise
Bill believes that his content management application is efficient.,Bill has a content management application.,E,possessive,1,type4_possessive_01,his content management application,Attitude Premise
"If Bill is a content strategist and he manages everything in his content management application, it's okay.",Bill has a content management application.,E,possessive,1,type4_possessive_01,his content management application,Conjunction Premise
"Either Bill isn't a content strategist, or he manages everything in his content management application.",Bill has a content management application.,E,possessive,1,type4_possessive_01,his content management application,Disjunction Premise
"If Bill is a content strategist, he'll manage everything in his content management application.",Bill has a content management application.,E,possessive,1,type4_possessive_01,his content management application,premise
Steve believes that his wildlife trap is in the forest.,Steve has a wildlife trap.,E,possessive,2,type4_possessive_02,his wildlife trap,Attitude Premise
"If Steve is a conservation officer and he sets up his wildlife trap to capture animals for research or relocation, it's okay.",Steve has a wildlife trap.,E,possessive,2,type4_possessive_02,his wildlife trap,Conjunction Premise
"Either Steve isn't a conservation officer, or he sets up his wildlife trap to capture animals for research or relocation.",Steve has a wildlife trap.,E,possessive,2,type4_possessive_02,his wildlife trap,Disjunction Premise
"If Steve is a conservation officer, he'll set up his wildlife trap to capture animals for research or relocation.",Steve has a wildlife trap.,E,possessive,2,type4_possessive_02,his wildlife trap,premise
Matt believes that his wetsuit is at home.,Matt has a wetsuit.,E,possessive,3,type4_possessive_03,his wetsuit,Attitude Premise
"If Matt is a scuba diver and he brings his wetsuit, it's okay.",Matt has a wetsuit.,E,possessive,3,type4_possessive_03,his wetsuit,Conjunction Premise
"Either Matt isn't a scuba diver, or he brings his wetsuit.",Matt has a wetsuit.,E,possessive,3,type4_possessive_03,his wetsuit,Disjunction Premise
"If Matt is a scuba diver, he'll bring his wetsuit.",Matt has a wetsuit.,E,possessive,3,type4_possessive_03,his wetsuit,premise
Noah believes that his pastry bag is in the pantry.,Noah has a pastry bag.,E,possessive,4,type4_possessive_04,his pastry bag,Attitude Premise
"If Noah is a pastry chef and he pipes frosting with his pastry bag, it's okay.",Noah has a pastry bag.,E,possessive,4,type4_possessive_04,his pastry bag,Conjunction Premise
"Either Noah isn't a pastry chef, or he pipes frosting with his pastry bag.",Noah has a pastry bag.,E,possessive,4,type4_possessive_04,his pastry bag,Disjunction Premise
"If Noah is a pastry chef, he'll pipe frosting with his pastry bag.",Noah has a pastry bag.,E,possessive,4,type4_possessive_04,his pastry bag,premise
